No.,Topic,Source,Question,Choices,Answer,Explanation,Difficulty
1,AI,SanFoundry,What is the primary goal of reinforcement learning?,"a) Minimize prediction error, b) Maximize cumulative reward, c) Classify data, d) Reduce variance",b,It focuses on maximizing long-term reward through trial and error in an environment.,
2,AI,SanFoundry,Which algorithm is commonly used in adversarial search?,"a) BFS, b) DFS, c) Minimax, d) Greedy Search",c,Minimax is used to determine optimal moves in competitive games by minimizing/maximizing value.,
3,AI,SanFoundry,What does NLP stand for in AI?,"a) Neural Learning Process, b) Natural Language Processing, c) Non-Linear Programming, d) None",b,NLP deals with the interaction between computers and human language.,
4,AI,SanFoundry,"In AI, what is a heuristic function used for?","a) Exact solution, b) Speed up search, c) Data storage, d) Model training",b,"It estimates the cost to reach the goal, speeding up search algorithms like A*.",
5,AI,SanFoundry,Which of these is a knowledge representation method?,"a) Decision Tree, b) Semantic Network, c) Gradient Descent, d) K-Means",b,Semantic Networks represent knowledge as nodes and edges for relationships.,
6,AI,SanFoundry,What is the purpose of the Turing Test?,"a) Measure accuracy, b) Test intelligence, c) Optimize code, d) Train models",b,It evaluates a machine's ability to exhibit human-like intelligence.,
7,AI,SanFoundry,What is an agent in AI?,"a) A data structure, b) A decision-making entity, c) A database, d) A neural network",b,An agent perceives its environment and takes actions to achieve goals.,
8,AI,SanFoundry,Which search algorithm uses a priority queue?,"a) DFS, b) BFS, c) A*, d) Hill Climbing",c,A* uses a priority queue to explore nodes based on cost and heuristic values.,
9,AI,SanFoundry,What is the role of backtracking in AI?,"a) Model training, b) Problem solving, c) Data cleaning, d) Feature selection",b,"It systematically explores solutions, reverting when a path fails, e.g., in constraint problems.",
10,AI,SanFoundry,What does overfitting mean in AI models?,"a) Model too simple, b) Model fits noise, c) Model generalizes well, d) Model is fast",b,"Overfitting occurs when a model learns noise instead of patterns, reducing generalization.",
11,AI,SanFoundry,Which of these is an unsupervised learning technique?,"a) SVM, b) K-Means, c) Decision Tree, d) Linear Regression",b,"K-Means clusters data without labeled outputs, unlike supervised methods.",
12,AI,SanFoundry,What is the purpose of a cost function in optimization?,"a) Measure error, b) Store data, c) Generate features, d) Speed up search",a,It quantifies the difference between predicted and actual values to guide optimization.,
13,AI,SanFoundry,Which AI field focuses on image recognition?,"a) NLP, b) Computer Vision, c) Robotics, d) Expert Systems",b,"Computer Vision processes and interprets visual data, like images or videos.",
14,AI,SanFoundry,What is the Q-value in Q-learning?,"a) Quality of data, b) Expected reward, c) Loss value, d) Learning rate",b,Q-value represents the expected future reward for an action in a state.,
